step,train_reward_mean,train_len_mean,train_entropy_mean,grad_norm,reward_var,adv_var,val_len_greedy,val_len_sample
50,-10.485391616821289,10.485391616821289,2.1125011444091797,1.3012313842773438,1.546967625617981,1.546967625617981,,
100,-8.294145584106445,8.294145584106445,1.4869115352630615,9.813410758972168,1.4530824422836304,1.4530823230743408,,
150,-7.409574508666992,7.409574508666992,0.9307716488838196,9.075141906738281,1.2132461071014404,1.2132461071014404,,
200,-7.146781921386719,7.146781921386719,0.9274702072143555,16.166311264038086,0.9526320099830627,0.952631950378418,,
250,-5.218414306640625,5.218414306640625,0.5258713960647583,8.272439956665039,0.49488288164138794,0.4948829412460327,4.833957195281982,5.075255870819092
300,-4.672333717346191,4.672333717346191,0.34606489539146423,11.017799377441406,0.2784951627254486,0.2784951329231262,,
350,-4.515279293060303,4.515279293060303,0.29024964570999146,9.60285758972168,0.22696112096309662,0.22696112096309662,,
400,-4.44549560546875,4.44549560546875,0.2599373161792755,4.340146541595459,0.20609384775161743,0.20609386265277863,,
450,-4.3643412590026855,4.3643412590026855,0.23167352378368378,4.570479393005371,0.21110033988952637,0.21110035479068756,,
500,-4.365100860595703,4.365100860595703,0.22020673751831055,9.690662384033203,0.20981261134147644,0.20981259644031525,4.142217636108398,4.198941230773926
550,-4.31215763092041,4.31215763092041,0.19202059507369995,6.219944000244141,0.1838298738002777,0.1838298887014389,,
600,-4.257851600646973,4.257851600646973,0.18442916870117188,5.889413833618164,0.17948800325393677,0.17948798835277557,,
650,-4.298789024353027,4.298789024353027,0.17956022918224335,5.2511796951293945,0.14837464690208435,0.14837464690208435,,
700,-4.299238204956055,4.299238204956055,0.1748514622449875,5.012026309967041,0.1415051966905594,0.1415051966905594,,
750,-4.24962043762207,4.24962043762207,0.1643034666776657,4.052766799926758,0.1619923859834671,0.1619923859834671,4.091388702392578,4.111021995544434
800,-4.211285591125488,4.211285591125488,0.15864704549312592,5.33660364151001,0.16690607368946075,0.16690607368946075,,
850,-4.161656856536865,4.161656856536865,0.1529656946659088,4.1704254150390625,0.13523341715335846,0.13523340225219727,,
900,-4.212475299835205,4.212475299835205,0.15085828304290771,4.164307594299316,0.14790208637714386,0.14790205657482147,,
950,-4.236856460571289,4.236856460571289,0.14424680173397064,5.061062335968018,0.15749014914035797,0.15749013423919678,,
1000,-4.1630072593688965,4.1630072593688965,0.13932524621486664,8.106788635253906,0.13468319177627563,0.13468319177627563,4.057721138000488,4.06874942779541
1050,-4.168617248535156,4.168617248535156,0.13829274475574493,4.589931488037109,0.15246963500976562,0.152469664812088,,
1100,-4.171228885650635,4.171228885650635,0.13142433762550354,5.889632701873779,0.1398526281118393,0.1398526430130005,,
1150,-4.151231288909912,4.151231288909912,0.13142339885234833,5.35115385055542,0.14682133495807648,0.14682133495807648,,
1200,-4.1761674880981445,4.1761674880981445,0.1263023465871811,7.549125671386719,0.14080172777175903,0.14080172777175903,,
1250,-4.167439937591553,4.167439937591553,0.11723212152719498,4.878243923187256,0.1558728963136673,0.15587283670902252,4.119295120239258,4.136601448059082
1300,-4.19863748550415,4.19863748550415,0.11596133559942245,5.576299667358398,0.1630961149930954,0.1630961149930954,,
1350,-4.176104545593262,4.176104545593262,0.1276266872882843,4.345486640930176,0.12400119751691818,0.12400119751691818,,
1400,-4.186507225036621,4.186507225036621,0.12348029762506485,5.523730754852295,0.1348721832036972,0.1348721832036972,,
1450,-4.154160499572754,4.154160499572754,0.10778053104877472,5.535261631011963,0.16481316089630127,0.16481314599514008,,
1500,-4.181016445159912,4.181016445159912,0.11381547898054123,7.627678394317627,0.1641598641872406,0.164159893989563,4.03483772277832,4.049027442932129
1550,-4.117898941040039,4.117898941040039,0.10624213516712189,4.25106143951416,0.1156858578324318,0.11568586528301239,,
1600,-4.151862144470215,4.151862144470215,0.10715537518262863,5.311223030090332,0.15162675082683563,0.15162676572799683,,
1650,-4.171136856079102,4.171136856079102,0.0998612642288208,5.741626262664795,0.15037351846694946,0.15037350356578827,,
1700,-4.163919448852539,4.163919448852539,0.09820694476366043,5.065218925476074,0.13112302124500275,0.13112300634384155,,
1750,-4.137972354888916,4.137972354888916,0.09874025732278824,5.410438060760498,0.15501238405704498,0.15501239895820618,4.053380966186523,4.060108184814453
