step,train_reward_mean,train_len_mean,train_entropy_mean,grad_norm,reward_var,adv_var,val_len_greedy,val_len_sample
50,-10.41281509399414,10.41281509399414,2.1167805194854736,0.0021855055820196867,1.3604040145874023,1.360404133796692,,
100,-10.439023971557617,10.439023971557617,2.1167800426483154,0.0032990286126732826,1.2247158288955688,1.2247158288955688,,
150,-10.348237991333008,10.348237991333008,2.116777181625366,0.005246922839432955,1.4098986387252808,1.4098985195159912,,
200,-10.459327697753906,10.459327697753906,2.116776704788208,0.004394760355353355,1.4748125076293945,1.4748125076293945,,
250,-10.402719497680664,10.402719497680664,2.1167781352996826,0.004429406486451626,1.3432941436767578,1.3432939052581787,10.748006820678711,10.396129608154297
300,-10.4531831741333,10.4531831741333,2.1167778968811035,0.003728019306436181,1.5044806003570557,1.5044806003570557,,
350,-10.496657371520996,10.496657371520996,2.116779327392578,0.0048170010559260845,1.5913398265838623,1.5913398265838623,,
400,-10.481051445007324,10.481051445007324,2.1167798042297363,0.006477580405771732,1.613031029701233,1.613031029701233,,
450,-10.403205871582031,10.403205871582031,2.116779327392578,0.0060445405542850494,1.3190085887908936,1.319008708000183,,
500,-10.38338851928711,10.38338851928711,2.1167798042297363,0.005380560178309679,1.5199886560440063,1.519988775253296,10.778986930847168,10.427148818969727
550,-10.476682662963867,10.476682662963867,2.116780996322632,0.0016287234611809254,1.507794737815857,1.507794737815857,,
600,-10.464923858642578,10.464923858642578,2.116780996322632,0.001898798975162208,1.5524137020111084,1.552413821220398,,
650,-10.44951057434082,10.44951057434082,2.11677885055542,0.0028625340200960636,1.6700712442398071,1.6700712442398071,,
700,-10.439647674560547,10.439647674560547,2.1167798042297363,0.004550726618617773,1.515552043914795,1.515552282333374,,
750,-10.374507904052734,10.374507904052734,2.116777181625366,0.002999314107000828,1.3773937225341797,1.3773937225341797,10.668768882751465,10.385807991027832
800,-10.32845687866211,10.32845687866211,2.1167752742767334,0.005024245008826256,1.5200814008712769,1.5200814008712769,,
