step,train_reward_mean,train_len_mean,train_entropy_mean,grad_norm,reward_var,adv_var,val_len_greedy,val_len_sample
50,-10.069623947143555,10.069623947143555,2.0499448776245117,6.6864094734191895,1.589105486869812,1.5891053676605225,,
100,-7.890927791595459,7.890927791595459,1.4098097085952759,12.299091339111328,1.2807072401046753,1.2807072401046753,,
150,-5.879298210144043,5.879298210144043,1.1645994186401367,12.261226654052734,0.5518190860748291,0.5518192052841187,,
200,-4.970033645629883,4.970033645629883,0.7144549489021301,6.751984596252441,0.305337131023407,0.30533716082572937,,
250,-4.618203163146973,4.618203163146973,0.5369590520858765,16.590045928955078,0.2898790240287781,0.28987905383110046,4.308053493499756,4.591951370239258
300,-4.578667640686035,4.578667640686035,0.46207743883132935,7.610243797302246,0.24033138155937195,0.24033138155937195,,
350,-4.491276741027832,4.491276741027832,0.4453886151313782,7.226964473724365,0.2184956669807434,0.21849560737609863,,
400,-4.404659271240234,4.404659271240234,0.3937743604183197,5.981575012207031,0.18963457643985748,0.18963462114334106,,
450,-4.428845405578613,4.428845405578613,0.36057549715042114,8.264820098876953,0.16485287249088287,0.16485287249088287,,
500,-4.305114269256592,4.305114269256592,0.3401964604854584,7.493499279022217,0.18393036723136902,0.18393035233020782,4.1236419677734375,4.235082626342773
550,-4.347496032714844,4.347496032714844,0.303828626871109,6.561514854431152,0.15824134647846222,0.15824131667613983,,
600,-4.2521257400512695,4.2521257400512695,0.2806379497051239,6.056045055389404,0.17758958041667938,0.17758959531784058,,
650,-4.234566688537598,4.234566688537598,0.2649199962615967,7.055418491363525,0.1567670851945877,0.15676701068878174,,
700,-4.193577766418457,4.193577766418457,0.27331411838531494,6.177186012268066,0.1531279981136322,0.1531280279159546,,
750,-4.217576026916504,4.217576026916504,0.2550326883792877,5.091963768005371,0.13833454251289368,0.13833454251289368,4.069206237792969,4.131443977355957
800,-4.193465709686279,4.193465709686279,0.24191565811634064,5.1149773597717285,0.15555217862129211,0.1555521935224533,,
850,-4.216203689575195,4.216203689575195,0.23279376327991486,5.7903947830200195,0.15352500975131989,0.1535249799489975,,
900,-4.227536201477051,4.227536201477051,0.22730179131031036,6.376777172088623,0.15768064558506012,0.15768064558506012,,
